cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
603	292.22464132219017	6.2498717	0	575719.2	1040858.5	445334.3225	0.0	505687.89625	0	426243.58999999997	464425.05500000005	537564.225	473811.5675	0	447995.2	404491.98	434568.03	494282.08	555135.72	519992.73	470918.92	476704.215	0	499081.77625	451940.4425	0	477154.4675	473867.75125000003	0	442481.1975	448187.4475	555682.355	455693.4375
604	191.14306255254297	6.2737412	0	0.0	347852.72	356736.07125	345763.875	361518.5975	0	347472.4975	365999.645	364821.8125	358215.3825	0	349026.82999999996	345918.16500000004	364177.70999999996	367821.58	360286.265	369357.36	362284.595	354146.17000000004	0	359175.02375	359079.645	0	358943.85	359310.81875	0	366692.5	346779.6425	351657.5475	371379.64749999996
605	165.12741997061644	6.312057	0	415687.2	434649.47	409087.94625	388027.5633333333	418086.35125	0	398351.0	419824.8925	412715.86	423456.8425	0	416172.375	380529.625	427926.51	411723.275	416102.48	409329.24	429061.7	417851.985	0	412838.73625	414335.56124999997	0	422315.76625	404858.53125	0	406931.23250000004	411244.66	418746.24	417426.4625
606	276.23223442523386	6.333487	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
607	453.1675379582013	6.3642263	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
608	437.1935430081439	6.366117	0	237222.92	350650.1	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
609	415.2115625776344	6.4319725	0	0.0	0.0	1185197.625	0.0	1099032.625	0	0.0	2370395.25	0.0	2198065.25	0	0.0	0.0	0.0	4740790.5	0.0	0.0	4396130.5	0.0	0	0.0	2284230.25	0	1099032.625	1185197.625	0	0.0	2370395.25	0.0	2198065.25
610	460.2694154553389	6.428996	0	0.0	357984.0	2110423.75	340605.98333333334	1893122.375	0	0.0	4220847.5	0.0	3786244.75	0	0.0	0.0	0.0	8441695.0	0.0	0.0	7572489.5	0.0	0	0.0	4003546.125	0	1893122.375	2110423.75	0	0.0	4220847.5	0.0	3786244.75
611	295.19035733266026	6.3903456	0	787088.1	639019.25	655925.60875	426309.0633333333	657358.16	0	583124.9199999999	728726.2975	644268.5800000001	670447.74	0	585778.6699999999	580471.1699999999	781639.075	675813.52	679101.18	609435.98	719729.28	621166.2	0	684089.60625	629194.1625	0	691562.05125	621721.7175	0	677072.1625	634779.0549999999	691107.05	623609.27
612	387.1932315346255	6.420743	0	0.0	0.0	36626.105	781255.7566666667	0.0	0	73252.21	0.0	0.0	0.0	0	0.0	146504.42	0.0	0.0	0.0	0.0	0.0	0.0	0	36626.105	0.0	0	0.0	36626.105	0	73252.21	0.0	0.0	0.0
613	409.1751427887445	6.422525	0	0.0	0.0	0.0	466721.125	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
614	432.251175387432	6.422525	0	0.0	0.0	0.0	393315.0333333334	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
615	167.0703065913562	6.4422903	0	489652.7	484046.88	417158.4325	409745.945	429289.60375	0	413559.395	420757.47000000003	433613.355	424965.8525	0	414194.7	412924.09	398001.80000000005	443513.14	423171.91	444054.8	443638.545	406293.16000000003	0	423562.01125	422886.025	0	419751.73875	426696.2975	0	408665.945	425650.92000000004	438458.0775	420121.13
616	205.1587768556572	6.446081	0	583971.6	467238.22	451376.11	443870.31	482274.19125	0	457495.14249999996	445257.0775	500895.895	463652.4875	0	446095.5	468894.785	420041.065	470473.09	486482.1	515309.69	475452.38	451852.595	0	469280.04874999996	464370.2525	0	457017.76125	476632.54	0	449283.8675	453468.35250000004	489276.23	475272.1525
617	135.0805043294413	6.473244	0	629780.6	1446188.9	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
618	483.2490777194207	6.473244	0	701121.06	1076636.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
619	415.211609390172	6.4760737	0	52858976.0	116221680.0	11340506.875	1364114.6666666667	13073757.125	0	10774946.25	11906067.5	13820135.0	12327379.25	0	10516975.0	11032917.5	12977768.5	10834366.5	15667728.5	11972541.5	12302382.0	12352376.5	0	12618872.25	11795391.75	0	12866213.5	11548050.5	0	11571343.75	11109670.0	13666400.75	12481113.5
