cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
465	323.964720507436	4.949484	0	1995380.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
466	159.04344076864336	4.9584184	0	2015975.4	0.0	1370740.75	1632539.9333333333	1309002.525	0	1360847.85	1380633.6500000001	1215421.65	1402583.4	0	1333032.1	1388663.6	1361805.85	1399461.4500000002	1185560.25	1245283.0499999998	1367859.05	1437307.75	0	1302615.4	1377127.875	0	1312064.3125	1367678.9625	0	1372658.225	1368823.2750000001	1232572.575	1385432.475
467	158.04004728565442	4.965075	0	39062508.0	0.0	23926340.25	29571885.666666668	22954992.5	0	23810554.5	24042126.0	21260974.5	24649010.5	0	23402780.0	24218329.0	24480163.0	23604089.0	20978234.0	21543715.0	24516829.0	24781192.0	0	22780474.5	24100858.25	0	23344501.5	23536831.25	0	23751248.5	24101432.0	21809700.5	24100284.5
468	157.04527485603754	4.9681063	0	28475056.0	0.0	17109182.625	21124578.0	16367162.5	0	17048345.5	17170019.75	15172555.5	17561769.5	0	16972146.5	17124544.5	17382033.0	16958006.5	15004255.5	15340855.5	17238314.0	17885225.0	0	16209047.5	17267297.625	0	16649187.25	16827157.875	0	16967405.5	17250959.75	15450689.5	17283635.5
469	305.0034588314608	4.965327	0	0.0	0.0	2821141.9625	3022787.8666666667	2472133.6875	0	2791523.975	2850759.95	2403773.825	2540493.55	0	2698668.2	2884379.75	2727512.65	2974007.25	2380480.75	2427066.9	2421491.5	2659495.6	0	2550362.0875	2742913.5625	0	2557038.275	2736237.375	0	2741761.5	2900522.425	2358962.675	2585304.7
470	258.9981765167775	4.965353	0	0.0	0.0	1990655.8	2248100.316666667	1722436.4125	0	1976318.2	2004993.4	1685843.05	1759029.775	0	1987147.4	1965489.0	1970146.25	2039840.55	1643606.35	1728079.75	1642083.95	1875975.6	0	1796250.4875	1916841.725	0	1810745.9875	1902346.225	0	1989151.5	1992160.1	1603349.4749999999	1841523.35
471	156.0494594072202	4.9700813	0	3275275.2	0.0	2217619.975	2554311.15	2038109.2625000002	0	2154982.625	2280257.325	1923081.4500000002	2153137.075	0	2120580.6	2189384.6500000004	2216074.4	2344440.25	1980340.05	1865822.85	2083230.7999999998	2223043.35	0	2036338.0750000002	2219391.1625	0	2100056.4625	2155672.775	0	2208755.225	2226484.725	1863920.925	2212297.6
472	235.1651816649362	5.0225267	0	38447344.0	0.0	4270013.0875	2782089.6166666667	4086319.5125	0	3600702.925	4939323.25	3697494.775	4475144.25	0	3039504.25	4161901.6	4808312.25	5070334.25	3737059.15	3657930.4	5008330.25	3941958.25	0	3628204.7875	4728127.8125	0	4148301.475	4208031.125	0	3879751.3	4660274.875	3376658.275	4795980.75
473	156.05190935692832	4.962282	0	0.0	0.0	814856.495	1076014.1166666667	544947.51875	0	673625.8400000001	956087.15	389064.1725	700830.865	0	424478.53	922773.15	1007535.6	904638.7	358656.97	419471.375	501017.15	900644.5800000001	0	696978.3125	662825.70125	0	572922.0625	786881.95125	0	975251.365	654461.625	418705.26	671189.7775000001
474	156.042141679889	4.9666944	0	510814300.0	0.0	279214810.0	389990353.3333333	299136673.75	0	314390090.0	244039530.0	278438442.5	319834905.0	0	312046720.0	316733460.0	159283410.0	328795650.0	271015565.0	285861320.0	311798690.0	327871120.0	0	260178066.25	318173417.5	0	263536096.25	314815387.5	0	235394015.0	323035605.0	284962117.5	313311230.0
475	124.92282760715648	5.0024047	0	7366223.0	0.0	3011311.2625	3503107.6833333336	2812192.2875	0	3016164.05	3006458.475	2411051.8	3213332.775	0	2912402.1	3119926.0	2883324.2	3129592.75	2344251.9000000004	2477851.7	3206851.15	3219814.4	0	2755163.175	3068340.375	0	2836707.3375	2986796.2125	0	3004239.175	3018383.35	2506087.175	3118297.4
476	122.92470902520654	5.002819	0	40136444.0	0.0	16918947.875	19626966.0	15651238.75	0	16806963.25	17030932.5	13603712.25	17698765.25	0	16193243.5	17420683.0	16371431.0	17690434.0	13136212.0	14071212.5	17629959.5	17767571.0	0	15433941.125	17136245.5	0	15832711.5	16737475.125	0	16861436.25	16976459.5	14006446.0	17296031.5
477	206.88597142338435	5.003333	0	70915704.0	0.0	25539884.25	30660851.666666668	22978210.375	0	25069309.0	26010459.5	19316513.25	26639907.5	0	23765510.0	26373108.0	24883131.0	27137788.0	18603882.0	20029144.5	26033337.0	27246478.0	0	22801179.875	25716914.75	0	23321465.0	25196629.625	0	25562211.0	25517557.5	20040148.75	25916272.0
478	290.84719191723855	5.003333	0	129446170.0	0.0	47056156.0	57601847.333333336	42060127.0	0	46117276.0	47995036.0	35091543.0	49028711.0	0	43919566.0	48314986.0	46367048.0	49623024.0	33851113.0	36331973.0	47886010.0	50171412.0	0	41488898.75	47627384.25	0	43005934.25	46110348.75	0	47195268.0	46917044.0	35782529.5	48337724.5
