formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C12H22N6O4	[M - H2O + H]+	C12H21N6O3+	0.813	0.320	6.910	6.910	0.000	5	0.048	0.425	0.425	-60606.971		297.167	44	0.734	839146621243078949	839146027052793928	839146027048599623	137	
1	C6H14O4	[M - H2O + H]+	C6H13O3+	0.999	0.500	17.020	17.020	0.000	2	0.020	1.292	1.292	-135330.573		133.086	44	0.736	839146162621091254	839146027086348364	839146027086348363	138	
1	C8H18O5	[M - H2O + H]+	C8H17O4+	0.998	0.500	36.811	36.811	0.000	5	0.236	-0.159	0.478	-101690.834		177.112	44	0.738	839146185073201293	839146027119902800	839146027119902799	139	
1	C8H18O5	[M + H3N + H]+	C8H22NO5+	1.000	1.000	57.780	57.780	0.000	11	0.115	-0.289	0.386	-0.491		212.149	44	0.740	839146363259825288	839146027195400280	839146027195400279	141	
1	C16H30O2	[M + H3N + H]+	C16H34NO2+	0.677	0.333	56.781	52.916	3.865	15	0.874	5.506	5.506	0.677		272.259	45	0.742	839146384059379152	839146027157651540	839146027157651539	140	
1	C15H32N2O8	[M - H2O + H]+	C15H31N2O7+	0.514	0.285	20.589	20.589	0.000	9	0.108	0.242	0.242	-51276.476		351.214	45	0.754	839146299992941812	839146027367366756	839146027367366755	144	
1	C19H38O2	[M + H3N + H]+	C19H42NO2+	0.512	0.500	35.679	35.679	0.000	8	0.470	0.293	0.293	-0.209		316.321	45	0.755	839146186289549485	839146027249926236	839146027245731931	142	
1	C18H32O5	[M + H3N + H]+	C18H36NO5+	1.000	0.333	64.918	64.918	0.000	13	0.737	0.336	0.336	-0.331		346.259	45	0.757	839146548593538360	839146027308646496	839146027308646495	143	
1	C7H10O3	[M + K]+	C7H10KO3+	0.397	0.547	7.094	7.094	0.000	1	0.004	2.115	3.962	-1.476		181.026	47	0.785	839146160540716357	839146027430281320	839146027426087015	145	
1	C40H39N3O5	[M + H3N + H]+	C40H43N4O5+	0.966	0.265	55.108	55.108	0.000	14	0.700	0.270	0.416	3.857		659.325	47	0.788	839146297459582030	839146027493195884	839146027493195883	146	
1	C12H24N3O6	[M - H2O + H]+	C12H23N3O5+	0.754	0.306	30.010	30.010	0.000	11	0.102	0.371	0.371	-62281.413		289.164	48	0.795	839146660015225562	839146027556110448	839146027556110447	147	
1	C8H8O2	[M + H3N + H]+	C8H12NO2+	0.993	0.333	33.353	33.353	0.000	5	0.063	1.769	1.870	-0.455		154.086	48	0.801	839146381882535348	839146027619025012	839146027619025011	148	
1	C14H31NO3	[M - H2O + H]+	C14H30NO2+	0.564	0.333	65.857	65.857	0.000	14	0.481	0.258	0.258	-73744.999		244.227	49	0.810	839146159244676335	839146027681939576	839146027677745271	149	
1	C6H14O4	[M + H3N + H]+	C6H18NO4+	1.000	1.000	79.514	79.514	0.000	9	0.467	5.098	5.098	-0.681		168.123	49	0.814	839146150793153406	839146027749048444	839146027749048443	150	
1	C20H38O2S	[M + H3N + H]+	C20H42NO2S+	0.922	0.329	91.131	87.382	3.749	11	0.527	3.814	3.814	-0.158		360.293	49	0.823	839146159362116850	839146027879071876	839146027874877571	152	
1	C8H10O3	[M + H3N + H]+	C8H14NO3+	1.000	0.333	100.881	100.881	0.000	8	0.812	2.290	2.290	-0.173		172.097	50	0.829	839146588787554150	839146027941986440	839146027941986439	153	
1	C18H37	[M + Na]+	C18H37Na+	1.000	1.000	-0.329	-0.329	0.000	0	0.000	2.541	2.541	4.011		276.280	50	0.835	839146158112214213	839146027816157312	839146027811963007	151	
1	C2H7N2OS2	[M + H3N + H]+	C2H11N3OS2+	0.516	0.500	25.776	22.952	2.824	3	0.913	10.279	10.279	8.945		157.035	52	0.858	839146220712203313	839146028072009872	839146028072009871	155	
1	C9H9NO	[M - H2O + H]+	C9H8N+	0.889	0.333	13.186	13.186	0.000	4	0.033	4.283	4.283	-138472.346		130.065	52	0.858	839146224256390354	839146028000706700	839146028000706699	154	
1	C15H33NO2	[M + H]+	C15H34NO2+	0.507	0.500	38.309	38.309	0.000	9	0.794	0.732	0.732	0.650		260.259	53	0.885	839146153687223270	839146028130730132	839146028130730131	156	
1	C8H12N2O3	[M - H2O + H]+	C8H11N2O2+	0.344	0.333	15.290	15.290	0.000	3	0.005	-0.079	0.556	-107795.143		167.081	54	0.896	839146224478688482	839146028269142172	839146028264947867	158	
1	C12H22O2	[M + H3N + H]+	C12H26NO2+	0.997	0.333	60.268	56.659	3.608	12	0.875	6.515	6.515	0.576		216.196	54	0.899	839146653761518242	839146028202033304	839146028202033303	157	
1	C16H28N2O5	[M - H2O + H]+	C16H27N2O4+	0.657	0.333	84.723	84.723	0.000	20	0.360	-0.483	0.631	-57876.667		311.196	55	0.919	839146519124357932	839146028327862432	839146028327862431	159	
1	C15H26N2O5	[M - H2O + H]+	C15H25N2O4+	0.640	0.333	114.201	114.201	0.000	24	0.319	-0.483	0.565	-60605.413		297.181	55	0.921	839146579883046673	839146028390776996	839146028390776995	160	
1	C18H30O	[M + H3N + H]+	C18H34NO+	0.687	0.270	43.877	43.877	0.000	11	0.168	0.207	0.262	0.977		280.264	55	0.924	839146304443098559	839146028764070076	839146028764070075	166	
1	C25H32O6	[M + H3N + H]+	C25H36NO6+	1.000	0.333	53.125	53.125	0.000	22	0.549	0.219	0.276	-0.054		446.254	56	0.926	839146232032630404	839146028642435252	839146028642435251	164	
1	C15H22O6	[M + H]+	C15H23O6+	0.878	0.500	163.343	159.736	3.608	33	0.914	5.279	5.279	-0.250		299.149	56	0.927	839146223920845974	839146028457885864	839146028453691559	161	
1	C13H18N6O5	[M - H2O + H]+	C13H17N6O4+	0.761	0.014	6.302	3.128	3.174	1	0.077	1.101	1.101	-56084.237		321.131	56	0.927	839146227062379848	839146028520800428	839146028520800427	162	
1	C14H19NO4	[M + H3N + H]+	C14H23N2O4+	0.539	0.333	94.442	94.442	0.000	21	0.237	-0.482	0.690	-0.719		283.165	56	0.928	839146231969715821	839146028583714992	839146028579520687	163	
1	C12H27NO	[M + H]+	C12H28NO+	0.704	0.500	28.624	28.624	0.000	10	0.258	0.507	0.507	0.342		202.217	56	0.933	839146602481956917	839146028701155512	839146028701155511	165	
1	C16H33NO2	[M - H2O + H]+	C16H32NO+	0.641	0.333	25.870	25.870	0.000	9	0.160	0.570	0.570	-70838.745		254.248	57	0.950	839146149077683038	839146028885704900	839146028885704899	168	
1	C15H22O6	[M + H]+	C15H23O6+	0.892	0.500	118.488	114.885	3.603	24	0.909	4.931	4.931	-0.217		299.149	58	0.961	839146536287450193	839146029196083420	839146029196083419	174	
1	C9H12O2	[M - H2O + H]+	C9H11O+	0.983	0.500	79.185	75.879	3.306	10	0.966	4.553	4.553	-133331.651		135.081	58	0.961	839146540209124455	839146028826984640	839146028826984639	167	
1	C30H44O12	[M + Na]+	C30H44NaO12+	1.000	0.991	20.855	13.950	6.906	1	0.810	-0.508	0.508	0.537		619.273	58	0.961	839146656710113989	839146029338689772	839146029338689771	178	
1	C15H22O6	[M + K]+	C15H22KO6+	1.000	1.000	28.799	28.799	0.000	6	0.091	0.521	0.521	-0.494		337.105	59	0.983	839146632932604387	839146029267386596	839146029267386595	176	
1	C40H72O9	[M + H3N + H]+	C40H76NO9+	0.731	0.333	35.550	35.550	0.000	17	0.769	0.384	0.384	0.673		714.552	59	0.984	839146567044281894	839146029003145420	839146029003145419	170	
1	C6H14O6	[M - H2O + H]+	C6H13O5+	0.998	0.500	62.277	62.277	0.000	7	0.185	3.289	3.289	-109104.344		165.076	59	0.985	839146478297002383	839146029158334680	839146029158334679	173	
1	C15H22O6	[M + H3N + H]+	C15H26NO6+	0.999	0.255	36.509	36.509	0.000	6	0.115	0.521	0.521	0.335		316.176	61	1.009	839146322403108907	839146029233832160	839146029233832159	175	
1	C6H12O5	[M - H2O + H]+	C6H11O4+	1.000	0.500	46.687	46.687	0.000	6	0.102	7.306	7.306	-122466.429		147.065	61	1.009	839146654101256872	839146029124780244	839146029124780243	172	
1	C17H26O6	[M + H3N + H]+	C17H30NO6+	1.000	0.330	54.028	54.028	0.000	10	0.411	0.424	0.480	-0.186		344.207	61	1.009	839146698791566189	839146029300941032	839146029300941031	177	
1	C6H10O4	[M - H2O + H]+	C6H9O3+	0.992	0.500	88.400	88.400	0.000	11	0.165	10.349	10.349	-139556.458		129.055	61	1.009	839146773441789349	839146029061865680	839146029061865679	171	
1	C16H24O6	[M + H3N + H]+	C16H28NO6+	1.000	0.333	49.941	49.941	0.000	10	0.427	0.340	0.355	-0.800		330.191	62	1.031	839146736770989158	839146029376438512	839146029376438511	179	
1	C12H24O	[M + H3N + H]+	C12H28NO+	0.975	0.500	51.879	48.404	3.475	11	0.704	6.990	6.990	0.342		202.217	63	1.055	839146569531504220	839146029418381556	839146029418381555	180	
1	C15H34N2O4	[M + H]+	C15H35N2O4+	0.608	0.500	60.145	60.145	0.000	13	0.589	-0.598	0.598	-1.071		307.259	66	1.096	839146297434416194	839146029502267644	839146029502267643	182	
1	C13H18N6O5	[M - H2O + H]+	C13H17N6O4+	0.998	0.100	8.722	3.184	5.538	1	0.030	1.406	1.406	-56084.598		321.131	66	1.108	839146578888996595	839146029464518904	839146029464518903	181	
1	C16H33NO2	[M - H2O + H]+	C16H32NO+	0.664	0.333	15.570	15.570	0.000	5	0.216	0.218	0.218	-70838.597		254.248	70	1.165	839146540347536510	839146029787480344	839146029787480343	189	
1	C13H18N6O5	[M - H2O + H]+	C13H17N6O4+	0.991	0.236	10.696	5.020	5.675	3	0.044	-0.480	1.403	-56084.533		321.131	71	1.181	839146318464657383	839146029594542340	839146029594542339	184	
1	C14H22N2O4	[M + Na]+	C14H22N2NaO4+	1.000	0.970	18.394	18.394	0.000	9	0.255	-0.682	0.825	-0.632		305.147	72	1.203	839146235539068778	839146029552599296	839146029552599295	183	
1	C14H22O3Si	[M + H3N + H]+	C14H26NO3Si+	0.990	0.304	107.620	107.620	0.000	22	0.697	3.189	3.189	2.334		284.168	73	1.209	839146569648944737	839146029670039820	839146029670039819	186	
1	C14H19NO4	[M + H3N + H]+	C14H23N2O4+	0.999	0.333	173.574	169.844	3.731	35	0.868	0.164	1.192	-0.437		283.165	73	1.211	839146653555997323	839146029632291080	839146029632291079	185	
1	C39H52O12	[M + Na]+	C39H52NaO12+	0.999	0.236	13.536	13.536	0.000	3	0.608	-0.660	0.660	0.751		735.336	73	1.212	839146618822965525	839146029707788560	839146029707788559	187	
1	C10H20O	[M + H3N + H]+	C10H24NO+	0.887	0.500	51.484	48.001	3.483	10	0.548	3.152	3.152	-0.119		174.185	73	1.223	839146149220289379	839146029829423388	839146029829423387	190	
1	C30H44O12	[M + Na]+	C30H44NaO12+	1.000	0.989	20.706	13.924	6.782	1	0.960	-0.882	0.882	0.634		619.273	74	1.225	839146164630162939	839146029871366432	839146029867172127	191	
1	C34H50O7	[M + H3N + H]+	C34H54NO7+	1.000	0.333	70.338	70.338	0.000	22	0.442	0.303	0.303	0.749		588.390	74	1.233	839146231390901800	839146029909115172	839146029904920867	192	
1	C6H10O4	[M - H2O + H]+	C6H9O3+	0.989	0.500	140.915	140.915	0.000	20	0.410	8.588	8.588	-139556.503		129.055	74	1.233	839146156350606469	839146029942669608	839146029942669607	193	
1	C6H12O5	[M - H2O + H]+	C6H11O4+	0.999	0.500	109.704	109.704	0.000	14	0.128	6.884	6.884	-122466.544		147.065	74	1.233	839146622073551180	839146030013972784	839146030013972783	195	
