cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1199	270.27911128900763	9.58855	0	2216569.8	4343845.5	2633238.575	168576.95666666667	3027339.3285714285	0	2471223.4	2795253.75	3275351.525	2696656.4	0	2382346.4	2560100.4	2598105.5	2992402.0	3279901.65	3270801.4	2618442.5	2735763.35	0	2949174.0142857144	2701633.225	0	2734164.228571429	2889766.7875	0	2581484.45	2684992.7	3439426.766666667	2718273.75
1200	271.2824300959793	9.588973	0	444399.25	793562.1	509663.7425	0.0	573671.5228571428	0	513901.775	505425.70999999996	640324.175	484801.32	0	488269.19	539534.36	470056.30000000005	540795.12	666127.1000000001	614521.25	477087.88	488658.04000000004	0	546904.4128571429	533084.96375	0	532284.7228571429	545877.1925	0	471188.64	548138.845	647858.7766666667	518031.0825
1201	431.3843916315944	9.624349	0	0.0	153881.16	123833.10375000001	229488.56999999998	240269.13999999998	0	40869.7	206796.5075	181979.965	317988.04	0	0.0	81739.4	167959.515	245633.5	222848.12	141111.81	308777.8	322593.16	0	114740.78	233670.41875	0	155770.4385714286	197769.4675	0	46192.45	201473.7575	206138.55333333332	265867.07999999996
1202	249.22126148852047	9.644783	0	271868.47	237323.98	273240.48375	265222.3133333333	264308.04714285716	0	269462.72250000003	277018.245	262626.705	266549.83666666667	0	262953.805	275971.64	265415.70499999996	288620.785	281955.325	243298.08500000002	271606.62	264021.445	0	278985.64714285714	260397.58375	0	270322.32714285713	267977.98875	0	276452.58	270028.3875	282363.07	250766.78
1203	371.1012448423065	9.694998	0	963774.6	1052929.4	902340.8325	910158.6416666666	861287.1714285715	0	903303.89	901377.775	922824.175	779237.8333333334	0	852111.3300000001	954496.45	901873.1	900882.45	835577.1000000001	1010071.25	805517.06	766098.22	0	901410.0785714285	867233.2887500001	0	854948.5885714286	907887.0925	0	917218.24	887463.425	880332.5299999999	847003.1525000001
1204	554.1764599045155	9.695383	0	1751919.6	1889481.4	1743015.2125	1789095.0166666666	1638483.5857142857	0	1762918.1	1723112.325	1719041.625	1531072.8666666665	0	1695257.25	1830578.95	1742385.05	1703839.6	1527492.85	1910590.4	1612364.0	1490427.3	0	1700696.0142857141	1688579.3375	0	1648947.7571428572	1733859.0625	0	1757240.825	1728789.6	1625302.9333333333	1648369.075
1205	559.1316398427714	9.695383	0	1669964.1	1918131.9	1680047.8875	1804433.5166666666	1612673.9142857143	0	1672595.9	1687499.875	1670600.2	1535438.8666666665	0	1587962.75	1757229.05	1704823.7000000002	1670176.05	1505405.2000000002	1835795.2	1623898.0	1491209.3	0	1653844.342857143	1644023.7625	0	1602897.3285714288	1688602.4	0	1700168.4	1659927.375	1592078.9333333333	1628120.15
1206	582.2075869485413	9.695383	0	2677302.2	2907624.0	2631024.025	2765774.283333333	2541462.1285714284	0	2601359.725	2660688.325	2694045.475	2338017.6666666665	0	2504827.1	2697892.35	2649678.15	2671698.5	2424890.35	2963200.6	2421954.0	2296049.5	0	2612993.8857142855	2568433.7375	0	2511535.0285714283	2657210.2375	0	2682560.875	2579487.175	2520237.9	2557380.3
1207	326.30523633996427	9.695117	0	235976.84	211678.0	228322.1625	212552.975	233719.13999999998	0	227170.13	229474.195	230077.7	238574.3933333333	0	230556.8	223783.46	233920.15999999997	225028.22999999998	224867.78999999998	235287.61	213314.72	251204.22999999998	0	232356.40142857144	229514.55875	0	227429.17428571428	233825.8825	0	228067.41999999998	228576.905	238075.04333333333	230452.2125
1208	585.205583550577	9.695344	0	346795.88	348913.22	332649.9625	349196.18333333335	337485.97000000003	0	335977.655	329322.27	344387.0825	328284.48666666663	0	308452.47	363502.84	334288.06	324356.48	313334.075	375440.08999999997	324817.94	330017.76	0	326554.91857142857	342214.6325	0	319566.7357142857	348329.2925	0	330743.545	334556.38	320970.0833333333	349872.885
