CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
875	951	4	0.8745	-0.000
875	1056	4	0.8645	-0.000
875	1192	4	0.8736	-28.031
875	1198	4	0.8469	-28.031
1043	1058	4	0.9597	0.000
1043	1059	4	0.8234	18.011
1043	1121	4	0.8103	52.031
1043	1191	4	0.8793	-28.031
990	1066	4	0.7727	-10.021
737	836	4	0.8922	-28.031
737	861	4	0.8994	-28.031
737	951	4	0.8268	-28.031
737	1044	4	0.8274	42.047
737	1056	4	0.903	-28.031
737	1198	4	0.8471	-56.062
791	820	4	0.8129	-18.010
799	820	4	0.8594	-18.010
814	820	4	0.8362	-18.010
820	897	4	0.8092	0.000
820	1090	4	0.8252	-10.021
907	1049	4	0.7102	-28.031
1007	1049	4	0.7024	-35.077
1049	1092	4	0.8251	-14.016
1049	1121	4	0.7577	12.000
838	852	4	0.854	0.000
852	994	4	0.8413	58.005
852	1066	4	0.7564	43.990
852	1146	4	0.8351	29.974
852	1168	4	0.8265	29.974
643	644	4	0.8794	-18.011
1058	1191	4	0.9112	-28.031
1121	1191	4	0.7647	-80.062
1092	1121	4	0.7734	26.016
836	861	4	0.9921	-0.000
836	894	4	0.879	-0.000
836	951	4	0.879	-0.000
836	1056	4	0.9515	-0.000
836	1192	4	0.8898	-28.031
836	1198	4	0.8374	-28.031
907	1006	4	0.7042	-28.031
907	1022	4	0.7229	-28.031
1032	1042	4	0.8222	1.003
1042	1059	4	0.8933	0.000
1042	1066	4	0.8023	12.000
1042	1168	4	0.8172	-2.016
791	1090	4	0.8624	-28.031
799	1090	4	0.8815	-28.031
814	1090	4	0.8326	-28.031
1056	1090	4	0.8676	-26.016
861	1056	4	0.9527	-0.000
894	1056	4	0.8635	-0.000
951	1056	4	0.8422	0.000
1056	1192	4	0.9239	-28.031
1056	1198	4	0.8684	-28.031
970	1032	4	0.7058	-3.019
1032	1059	4	0.8281	1.003
1032	1066	4	0.7656	13.003
742	838	4	0.7683	-0.984
791	799	4	0.9346	0.000
799	814	4	0.9535	0.000
799	891	4	0.8502	0.000
861	894	4	0.8886	0.000
861	951	4	0.8905	-0.000
861	1192	4	0.8914	-28.031
861	1198	4	0.8452	-28.031
1031	1033	4	0.8285	-14.016
834	1031	4	0.7598	25.020
803	994	4	0.8234	42.010
850	1192	4	0.8302	-28.031
894	1192	4	0.8525	-28.031
951	1192	4	0.8232	-28.031
1192	1198	4	0.8718	0.000
791	814	4	0.9319	0.000
791	866	4	0.8053	-3.046
791	931	4	0.8165	26.016
994	1059	4	0.8506	-26.016
1059	1066	4	0.7886	12.000
1059	1146	4	0.8871	-2.016
1059	1168	4	0.873	-2.016
894	1198	4	0.8104	-28.031
1006	1112	4	0.7124	-28.031
1076	1112	4	0.7087	-14.016
814	891	4	0.8384	0.000
850	951	4	0.8095	-0.000
814	866	4	0.8417	-3.046
834	1006	4	0.7524	-42.047
834	1076	4	0.7676	-56.063
838	994	4	0.8408	58.005
838	1146	4	0.8417	29.974
838	1168	4	0.8325	29.974
1006	1022	4	0.8291	0.000
1006	1076	4	0.8483	-14.016
994	1168	4	0.9661	-28.031
1063	1168	4	0.8299	3.995
1066	1168	4	0.8412	-14.016
1146	1168	4	0.9912	-0.000
1058	1063	4	0.8238	12.000
894	931	4	0.8188	28.031
894	951	4	0.8518	-0.000
994	1146	4	0.9756	-28.031
1066	1146	4	0.8498	-14.016
643	1007	4	0.7474	38.052
1022	1076	4	0.8111	-14.016
1007	1022	4	0.7053	-35.077
104	115	5	0.8642	-39.007
75	971	6	0.7928	-0.088
959	971	6	0.8979	-0.000
971	1104	6	0.9282	0.088
971	1159	6	0.922	0.088
971	1173	6	0.9568	0.088
75	1173	6	0.7745	-0.000
959	1173	6	0.8941	0.088
1104	1173	6	0.9659	0.000
1159	1173	6	0.9294	0.000
959	1159	6	0.8506	0.088
1104	1159	6	0.9347	-0.000
75	959	6	0.765	-0.088
959	1104	6	0.858	0.088
764	853	7	0.9045	-60.021
786	853	7	0.9392	-42.011
853	1123	7	0.8752	-74.052
721	912	7	0.8477	18.011
762	912	7	0.882	18.011
822	912	7	0.8272	18.011
912	916	7	0.8294	-35.977
845	1341	7	0.8342	-283.288
730	745	7	0.9053	-18.011
690	721	7	0.9301	-0.000
690	745	7	0.9308	-0.000
690	762	7	0.9416	-0.000
690	764	7	0.9052	18.011
690	771	7	0.8972	-116.063
690	786	7	0.9406	0.000
690	810	7	0.9419	0.000
690	916	7	0.9191	-17.966
690	1123	7	0.8964	-116.063
690	1313	7	0.8698	-255.257
721	745	7	0.939	0.000
745	762	7	0.9678	-0.000
