"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"572_209.1_6.3",572,209.09549708205,6.299171,"C7H16N2O3S"
"574_639.38_6.4",574,639.384551029622,6.373376,"C34H52N6O7"
"575_353.14_6.4",575,353.1418439123,6.407959,"C13H22N4O6"
"576_183.09_6.4",576,183.086319846457,6.4302573,"C6H14O6"
"577_484.2_6.4",577,484.200400372778,6.432803,"C18H31N5O9"
"578_367.12_6.4",578,367.12109876942,6.4344525,NA
"579_383.1_6.4",579,383.09505076745,6.4358163,"C12H24O11"
"580_156.04_6.4",580,156.04210768698,6.388511,"C5H11NO2"
"581_365.11_6.5",581,365.105917375967,6.4567604,"C13H18N4O7"
"582_140.07_6.4",582,140.068182037295,6.4423037,"C5H11NO2"
"583_489.82_6.5",583,489.823107088525,6.47991,NA
"584_434.29_6.5",584,434.288891592525,6.462967,"C25H36O5"
"587_531.12_6.5",587,531.123586578685,6.486892,"C24H24N6O3S2"
"588_277.06_6.5",588,277.061838901999,6.4827614,"C8H15FN2O4S"
"589_753.26_6.5",589,753.258690835433,6.5055466,"C48H42O6"
"590_261.09_6.5",590,261.087722821584,6.4902163,"C8H18N2O4S"
"591_356.18_6.5",591,356.184812464223,6.493605,"C14H27O7P"
"592_499.19_6.5",592,499.186386614698,6.490257,"C29H23NO6"
"593_737.29_6.5",593,737.285205527532,6.500766,"C32H48O19"
"594_284.16_6.5",594,284.163623251705,6.5013394,"C18H18O2"
"595_975.38_6.5",595,975.38358105632,6.5130954,"C45H60N8O14"
"599_242.1_6.5",599,242.103846423304,6.530867,"C7H17N5OS"
"600_239.11_6.5",600,239.105703424463,6.5305476,"C8H15NO4S"
"601_1193_6.5",601,1193.00016308628,6.5344734,NA
"602_152.04_6.5",602,152.036980284973,6.531745,NA
"603_1073.45_6.5",603,1073.45066794629,6.533664,"C55H66N6O15"
"604_1430.6_6.5",604,1430.59884432082,6.531853,NA
"605_1192.17_6.5",605,1192.16515690976,6.5324316,NA
"606_1430.1_6.5",606,1430.09920789487,6.5331964,NA
"607_477.2_6.5",607,477.204475997108,6.5326314,"C20H30N8O5S"
"608_1431.6_6.5",608,1431.59824246109,6.531742,NA
"609_1191.5_6.5",609,1191.49951050019,6.532672,"C75H76O11"
"610_1351.23_6.5",610,1351.23252840231,6.5324636,NA
"611_1193.5_6.5",611,1193.49982259593,6.5327353,"C76H74O14"
"612_715.3_6.5",612,715.302901259479,6.533557,"C32H47N3O10S2"
"613_953.4_6.5",613,953.401242385738,6.5335727,"C44H57N9O10S2"
"614_1072.45_6.5",614,1072.45026249274,6.5335984,"C63H63N5O10"
"615_1192.5_6.5",615,1192.50027885801,6.5336003,NA
"616_1192_6.5",616,1192.00065780031,6.5345054,NA
"619_1311.05_6.5",619,1311.05002701197,6.5353312,NA
"620_1271.53_6.5",620,1271.53271006317,6.5352783,NA
"621_1350.9_6.5",621,1350.89850853186,6.5345473,NA
"622_955.4_6.5",622,955.400428869455,6.5345154,"C58H60O11"
"623_1271.87_6.5",623,1271.86611495449,6.5358815,"C80H118O12"
"624_1310.55_6.5",624,1310.54862297368,6.534039,"C68H80N2O23"
"625_954.4_6.5",625,954.403177299376,6.5340624,"C51H59N3O15"
"626_240.02_6.5",626,240.018743708121,6.534637,"C6H6O7S"
"627_1072.95_6.5",627,1072.95144152322,6.5336723,NA
"628_1429.6_6.5",628,1429.59774257272,6.5349574,NA
"629_956.4_6.5",629,956.401802949064,6.534878,"C43H54N8O16"
"630_1311.55_6.5",630,1311.54937630246,6.534967,"C62H75N11O20"
"634_238.2_6.5",634,238.19762981412,6.5397644,"C10H24N2OS"
"64_398.24_0.5",64,398.240787772206,0.52360016,"C18H28N4O5"
"640_1203.49_6.6",640,1203.49120121037,6.5564337,"C53H74N10O20S"
"641_1202.99_6.6",641,1202.99209583835,6.558979,NA
"642_1202.49_6.6",642,1202.49094694369,6.5571413,"C66H72O20"
"643_1083.94_6.6",643,1083.94277079726,6.5571213,NA
"644_1083.44_6.6",644,1083.44147970034,6.5599375,"C52H68N8O15"
"645_1084.44_6.6",645,1084.4418246988,6.5615563,"C54H66O22"
"646_975.38_6.6",646,975.383859078883,6.59129,"C43H68O22"
"647_753.26_6.6",647,753.258377401555,6.5992427,"C30H50O19"
"648_769.22_6.6",648,769.222673452581,6.6025667,"C38H38N2O14"
"649_356.18_6.6",649,356.184885297515,6.6025853,"C14H27O7P"
"650_737.29_6.6",650,737.285491194726,6.60537,NA
"651_284.16_6.6",651,284.163702067844,6.6080055,"C18H18O2"
"652_475.81_6.6",652,475.807783419976,6.6301346,NA
"653_515.16_6.6",653,515.161012117239,6.616108,"C17H23N9O5S2"
"654_531.12_6.6",654,531.123954447955,6.620594,"C22H24N2O12"
"655_533.12_6.6",655,533.124119857338,6.621964,"C25H26N4O5S"
"656_997.37_6.6",656,997.366465452436,6.6242976,"C41H58N12O12S2"
"657_499.19_6.6",657,499.186631958234,6.622976,"C29H28N2O7"
"658_261.09_6.6",658,261.087836288417,6.6234703,NA
"659_489.82_6.6",659,489.823205318218,6.6299753,NA
"660_283.14_6.6",660,283.143294992082,6.628367,"C17H15NO2"
"661_843.32_6.6",661,843.318962483646,6.6314955,"C42H48N6O14"
"662_497.82_6.6",662,497.820050386554,6.6215234,NA
"663_345.14_6.6",663,345.139196618284,6.6331086,"C17H22N4O3S"
"664_183.09_6.6",664,183.086366619033,6.6344714,"C6H14O6"
"665_482.82_6.6",665,482.81504009769,6.631378,NA
"666_605.22_6.6",666,605.220313215844,6.640428,"C28H38O13"
"667_759.27_6.6",667,759.267737580319,6.6413755,"C30H48N4O16"
"670_277.06_6.7",670,277.061881195702,6.652074,"C8H18N2O4S"
"671_378.17_6.6",671,378.166866119699,6.6493664,"C18H20N2O6"
"672_367.12_6.7",672,367.121090198175,6.6551347,NA
"673_545.36_6.6",673,545.357364891445,6.6406174,"C31H50N2O7"
"674_627.2_6.7",674,627.20219646108,6.6699657,NA
"675_521.17_6.7",675,521.168942296553,6.670509,"C26H30N2O7"
"676_283.07_6.7",676,283.069900750104,6.679079,NA
