#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
750	spectra_filtered.mgf	*..*		:702	1148	-1	0	175.119	1	0.841153	0	0	34868700.0	875211.0	L-arginine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf750	-1	BERKELEY-LAB.mgf	0.522803				6	0	9.15527e-05	175.119	0	CCMSLIB00010103136
663	spectra_filtered.mgf	*..*		:191	128	-1	0	345.139	1	0.840117	0	0	798792.0	128793.0	Isomalt (known structural isomers: 2; isobaric peaks in run: 0) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf663	-1	CMMC-FOOD-BIOMARKERS.mgf	0.530527				8	0	0.000183105	345.139	0	CCMSLIB00013576248
47	spectra_filtered.mgf	*..*		:10729	29192	-1	0	447.105	1	0.839222	0	0	359.751	789692.0	(1S,3R,6R,7S,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0,.0,?.0?,.0,?]nonadecane-5,15,18-trione [M+K]+	MONA	temp/spectra_filtered.mgf47	-1	MONA.mgf	4440.46				13	0	1.98535	445.12	0	CCMSLIB00004701792
736	spectra_filtered.mgf	*..*		:1811	10106	-1	0	183.086	0	0.838511	0	0	233345.0	131283.0	D-SORBITOL - 40.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf736	-1	GNPS-LIBRARY.mgf	1.50016				6	0	0.000274658	183.086	0	CCMSLIB00005884964
91	spectra_filtered.mgf	*..*		:2887	379	-1	0	279.232	1	0.835058	0	0	759178.0	6666000.0	gamma-Linolenic acid (known structural isomers: 0; isobaric peaks in run: 2) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf91	-1	CMMC-FOOD-BIOMARKERS.mgf	3522.78				8	0	0.983673	278.248	0	CCMSLIB00013576563
560	spectra_filtered.mgf	*..*		:20107	38570	-1	0	293.123	1	0.824906	0	0	368.022	647035.0	(3R)-4,4-dimethyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-one [M+H]+	MONA	temp/spectra_filtered.mgf560	-1	MONA.mgf	3519.5				7	0	1.03165	294.155	0	CCMSLIB00004711170
56	spectra_filtered.mgf	*..*		:1064	2145	-1	0	871.593	1	0.823595	0	0	56016.0	14010300.0	Pheophytin A M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf56	-1	GNPS-LIBRARY.mgf	22.8989				9	0	0.0199585	871.573	0	CCMSLIB00000471426
93	spectra_filtered.mgf	*..*		:2796	236	-1	0	279.232	1	0.821513	0	0	942813.0	711668.0	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf93	-1	GNPS-NIST14-MATCHES.mgf	71.2578				6	0	0.0198975	279.252	0	CCMSLIB00003134722
75	spectra_filtered.mgf	*..*		:1	713	-1	0	422.172	1	0.818221	0	0	87062.3	3035860.0	TopotecanHCl M+H	GNPS-SELLECKCHEM-FDA-PART1	temp/spectra_filtered.mgf75	-1	GNPS-SELLECKCHEM-FDA-PART1.mgf	2026.35				6	0	0.855469	421.317	0	CCMSLIB00000004934
60	spectra_filtered.mgf	*..*		:2326	6918	-1	0	297.243	1	0.816082	0	0	215400.0	3241530.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585] [M-H2O+H]+	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	temp/spectra_filtered.mgf60	-1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf	3191.66				11	0	0.9487	296.294	0	CCMSLIB00005722214
249	spectra_filtered.mgf	*..*		:11109	11109	-1	0	812.556	1	0.814173	0	0	389377.0	430130.0	SQDG(16:0/16:0); [M+NH4]+ C41H82N1O12S1 M+NH4	PNNL-LIPIDS-POSITIVE	temp/spectra_filtered.mgf249	-1	PNNL-LIPIDS-POSITIVE.mgf	0.45069				10	0	0.000366211	812.556	0	CCMSLIB00010076044
